provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah,Cluster
ACEH,MAKANAN,PERKOTAAN,2015.0,MARET,293697.0,1900000.0,466355.0,11226.0,0
ACEH,MAKANAN,PERKOTAAN,2015.0,SEPTEMBER,302128.0,1900000.0,466355.0,11226.0,0
ACEH,MAKANAN,PERKOTAAN,2016.0,MARET,306243.0,2118500.0,548853.0,13627.0,0
ACEH,MAKANAN,PERKOTAAN,2016.0,SEPTEMBER,319768.0,2118500.0,548853.0,13627.0,0
ACEH,MAKANAN,PERDESAAN,2015.0,MARET,297479.0,1900000.0,395136.0,11226.0,0
ACEH,MAKANAN,PERDESAAN,2015.0,SEPTEMBER,306737.0,1900000.0,395136.0,11226.0,0
ACEH,MAKANAN,PERDESAAN,2016.0,MARET,315697.0,2118500.0,412251.0,13627.0,0
ACEH,MAKANAN,PERDESAAN,2016.0,SEPTEMBER,324854.0,2118500.0,412251.0,13627.0,0
ACEH,MAKANAN,PERKOTAAN,2017.0,MARET,330153.0,2500000.0,610732.0,14809.0,0
ACEH,MAKANAN,PERKOTAAN,2017.0,SEPTEMBER,347811.0,2500000.0,610732.0,14809.0,0
ACEH,MAKANAN,PERKOTAAN,2018.0,MARET,351777.0,2700000.0,637432.0,13814.0,0
ACEH,MAKANAN,PERKOTAAN,2018.0,SEPTEMBER,360318.0,2700000.0,637432.0,13814.0,0
ACEH,MAKANAN,PERDESAAN,2017.0,MARET,331267.0,2500000.0,494150.0,14809.0,0
ACEH,MAKANAN,PERDESAAN,2017.0,SEPTEMBER,346070.0,2500000.0,494150.0,14809.0,0
ACEH,MAKANAN,PERDESAAN,2018.0,MARET,353915.0,2700000.0,506656.0,13814.0,0
ACEH,MAKANAN,PERDESAAN,2018.0,SEPTEMBER,362463.0,2700000.0,506656.0,13814.0,0
ACEH,MAKANAN,PERKOTAAN,2019.0,MARET,364040.0,2916810.0,639421.0,15065.0,0
ACEH,MAKANAN,PERKOTAAN,2019.0,SEPTEMBER,377620.0,2916810.0,639421.0,15065.0,0
ACEH,MAKANAN,PERKOTAAN,2020.0,MARET,398026.0,3165031.0,655222.0,18099.0,0
ACEH,MAKANAN,PERKOTAAN,2020.0,SEPTEMBER,399503.99999999994,3165031.0,655222.0,18099.0,0
ACEH,MAKANAN,PERDESAAN,2019.0,MARET,372626.0,2916810.0,520759.0,15065.0,0
ACEH,MAKANAN,PERDESAAN,2019.0,SEPTEMBER,387367.0,2916810.0,520759.0,15065.0,0
ACEH,MAKANAN,PERDESAAN,2020.0,MARET,396615.0,3165031.0,566947.0,18099.0,0
ACEH,MAKANAN,PERDESAAN,2020.0,SEPTEMBER,397816.0,3165031.0,566947.0,18099.0,0
ACEH,MAKANAN,PERKOTAAN,2021.0,MARET,418046.99999999994,3165031.0,734401.0,17037.0,0
ACEH,MAKANAN,PERKOTAAN,2021.0,SEPTEMBER,426126.0,3165031.0,734401.0,17037.0,0
ACEH,MAKANAN,PERKOTAAN,2022.0,MARET,448528.0,3166460.0,736172.0,16772.0,0
ACEH,MAKANAN,PERKOTAAN,2022.0,SEPTEMBER,481276.0,3166460.0,736172.0,16772.0,0
ACEH,MAKANAN,PERDESAAN,2021.0,MARET,406917.0,3165031.0,597940.0,17037.0,0
ACEH,MAKANAN,PERDESAAN,2021.0,SEPTEMBER,414738.0,3165031.0,597940.0,17037.0,0
ACEH,MAKANAN,PERDESAAN,2022.0,MARET,434104.0,3166460.0,633566.0,16772.0,0
ACEH,MAKANAN,PERDESAAN,2022.0,SEPTEMBER,462137.99999999994,3166460.0,633566.0,16772.0,0
ACEH,NONMAKANAN,PERKOTAAN,2015.0,MARET,116717.0,1900000.0,529945.0,11226.0,0
ACEH,NONMAKANAN,PERKOTAAN,2015.0,SEPTEMBER,118196.0,1900000.0,529945.0,11226.0,0
