provinsi,jenis,daerah,tahun,periode,gk,ump,peng,upah
ACEH,MAKANAN,PERKOTAAN,2015,MARET,293697,1900000,466355,11226
ACEH,MAKANAN,PERKOTAAN,2015,SEPTEMBER,302128,1900000,466355,11226
ACEH,MAKANAN,PERKOTAAN,2016,MARET,306243,2118500,548853,13627
ACEH,MAKANAN,PERKOTAAN,2016,SEPTEMBER,319768,2118500,548853,13627
ACEH,MAKANAN,PERDESAAN,2015,MARET,297479,1900000,395136,11226
ACEH,MAKANAN,PERDESAAN,2015,SEPTEMBER,306737,1900000,395136,11226
ACEH,MAKANAN,PERDESAAN,2016,MARET,315697,2118500,412251,13627
ACEH,MAKANAN,PERDESAAN,2016,SEPTEMBER,324854,2118500,412251,13627
ACEH,MAKANAN,PERKOTAAN,2017,MARET,330153,2500000,610732,14809
ACEH,MAKANAN,PERKOTAAN,2017,SEPTEMBER,347811,2500000,610732,14809
ACEH,MAKANAN,PERKOTAAN,2018,MARET,351777,2700000,637432,13814
ACEH,MAKANAN,PERKOTAAN,2018,SEPTEMBER,360318,2700000,637432,13814
ACEH,MAKANAN,PERDESAAN,2017,MARET,331267,2500000,494150,14809
ACEH,MAKANAN,PERDESAAN,2017,SEPTEMBER,346070,2500000,494150,14809
ACEH,MAKANAN,PERDESAAN,2018,MARET,353915,2700000,506656,13814
ACEH,MAKANAN,PERDESAAN,2018,SEPTEMBER,362463,2700000,506656,13814
ACEH,MAKANAN,PERKOTAAN,2019,MARET,364040,2916810,639421,15065
ACEH,MAKANAN,PERKOTAAN,2019,SEPTEMBER,377620,2916810,639421,15065
ACEH,MAKANAN,PERKOTAAN,2020,MARET,398026,3165031,655222,18099
ACEH,MAKANAN,PERKOTAAN,2020,SEPTEMBER,399504,3165031,655222,18099
ACEH,MAKANAN,PERDESAAN,2019,MARET,372626,2916810,520759,15065
ACEH,MAKANAN,PERDESAAN,2019,SEPTEMBER,387367,2916810,520759,15065
ACEH,MAKANAN,PERDESAAN,2020,MARET,396615,3165031,566947,18099
ACEH,MAKANAN,PERDESAAN,2020,SEPTEMBER,397816,3165031,566947,18099
ACEH,MAKANAN,PERKOTAAN,2021,MARET,418047,3165031,734401,17037
ACEH,MAKANAN,PERKOTAAN,2021,SEPTEMBER,426126,3165031,734401,17037
ACEH,MAKANAN,PERKOTAAN,2022,MARET,448528,3166460,736172,16772
ACEH,MAKANAN,PERKOTAAN,2022,SEPTEMBER,481276,3166460,736172,16772
ACEH,MAKANAN,PERDESAAN,2021,MARET,406917,3165031,597940,17037
ACEH,MAKANAN,PERDESAAN,2021,SEPTEMBER,414738,3165031,597940,17037
ACEH,MAKANAN,PERDESAAN,2022,MARET,434104,3166460,633566,16772
ACEH,MAKANAN,PERDESAAN,2022,SEPTEMBER,462138,3166460,633566,16772
ACEH,NONMAKANAN,PERKOTAAN,2015,MARET,116717,1900000,529945,11226
ACEH,NONMAKANAN,PERKOTAAN,2015,SEPTEMBER,118196,1900000,529945,11226
ACEH,NONMAKANAN,PERKOTAAN,2016,MARET,121727,2118500,559492,13627
ACEH,NONMAKANAN,PERKOTAAN,2016,SEPTEMBER,125719,2118500,559492,13627
ACEH,NONMAKANAN,PERDESAAN,2015,MARET,84638,1900000,260183,11226
ACEH,NONMAKANAN,PERDESAAN,2015,SEPTEMBER,87682,1900000,260183,11226
ACEH,NONMAKANAN,PERDESAAN,2016,MARET,88288,2118500,272829,13627
ACEH,NONMAKANAN,PERDESAAN,2016,SEPTEMBER,90972,2118500,272829,13627
ACEH,NONMAKANAN,PERKOTAAN,2017,MARET,127858,2500000,576134,14809
ACEH,NONMAKANAN,PERKOTAAN,2017,SEPTEMBER,132061,2500000,576134,14809
ACEH,NONMAKANAN,PERKOTAAN,2018,MARET,134561,2700000,633864,13814
ACEH,NONMAKANAN,PERKOTAAN,2018,SEPTEMBER,136434,2700000,633864,13814
ACEH,NONMAKANAN,PERDESAAN,2017,MARET,94463,2500000,287004,14809
ACEH,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,96799,2500000,287004,14809
ACEH,NONMAKANAN,PERDESAAN,2018,MARET,100825,2700000,331248,13814
ACEH,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,104778,2700000,331248,13814
ACEH,NONMAKANAN,PERKOTAAN,2019,MARET,137577,2916810,640399,15065
ACEH,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,140281,2916810,640399,15065
ACEH,NONMAKANAN,PERKOTAAN,2020,MARET,143425,3165031,704431,18099
ACEH,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,144182,3165031,704431,18099
ACEH,NONMAKANAN,PERDESAAN,2019,MARET,106943,2916810,334915,15065
ACEH,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,110248,2916810,334915,15065
ACEH,NONMAKANAN,PERDESAAN,2020,MARET,116270,3165031,378673,18099
ACEH,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,116847,3165031,378673,18099
ACEH,NONMAKANAN,PERKOTAAN,2021,MARET,147729,3165031,724090,17037
ACEH,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,151144,3165031,724090,17037
ACEH,NONMAKANAN,PERKOTAAN,2022,MARET,157867,3166460,716409,16772
ACEH,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,164956,3166460,716409,16772
ACEH,NONMAKANAN,PERDESAAN,2021,MARET,122118,3165031,378673,17037
ACEH,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,126262,3165031,378673,17037
ACEH,NONMAKANAN,PERDESAAN,2022,MARET,131658,3166460,406040,16772
ACEH,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,140763,3166460,406040,16772
SUMATERA UTARA,MAKANAN,PERKOTAAN,2015,MARET,261677,1625000,416073,10618
SUMATERA UTARA,MAKANAN,PERKOTAAN,2015,SEPTEMBER,273271,1625000,416073,10618
SUMATERA UTARA,MAKANAN,PERKOTAAN,2016,MARET,290096,1811875,493141,11646
SUMATERA UTARA,MAKANAN,PERKOTAAN,2016,SEPTEMBER,302027,1811875,493141,11646
SUMATERA UTARA,MAKANAN,PERDESAAN,2015,MARET,266143,1625000,413087,10618
SUMATERA UTARA,MAKANAN,PERDESAAN,2015,SEPTEMBER,284650,1625000,413087,10618
SUMATERA UTARA,MAKANAN,PERDESAAN,2016,MARET,304942,1811875,450979,11646
SUMATERA UTARA,MAKANAN,PERDESAAN,2016,SEPTEMBER,313234,1811875,450979,11646
SUMATERA UTARA,MAKANAN,PERKOTAAN,2017,MARET,311996,1961354,553690,13396
SUMATERA UTARA,MAKANAN,PERKOTAAN,2017,SEPTEMBER,321688,1961354,553690,13396
SUMATERA UTARA,MAKANAN,PERKOTAAN,2018,MARET,328225,2132189,586199,13257
SUMATERA UTARA,MAKANAN,PERKOTAAN,2018,SEPTEMBER,345167,2132189,586199,13257
SUMATERA UTARA,MAKANAN,PERDESAAN,2017,MARET,316190,1961354,490603,13396
SUMATERA UTARA,MAKANAN,PERDESAAN,2017,SEPTEMBER,322222,1961354,490603,13396
SUMATERA UTARA,MAKANAN,PERDESAAN,2018,MARET,333843,2132189,519512,13257
SUMATERA UTARA,MAKANAN,PERDESAAN,2018,SEPTEMBER,342317,2132189,519512,13257
SUMATERA UTARA,MAKANAN,PERKOTAAN,2019,MARET,354346,2303403,612136,14061
SUMATERA UTARA,MAKANAN,PERKOTAAN,2019,SEPTEMBER,366831,2303403,612136,14061
SUMATERA UTARA,MAKANAN,PERKOTAAN,2020,MARET,376919,2499423,643456,15949
SUMATERA UTARA,MAKANAN,PERKOTAAN,2020,SEPTEMBER,378679,2499423,643456,15949
SUMATERA UTARA,MAKANAN,PERDESAAN,2019,MARET,348030,2303403,533737,14061
SUMATERA UTARA,MAKANAN,PERDESAAN,2019,SEPTEMBER,367379,2303403,533737,14061
SUMATERA UTARA,MAKANAN,PERDESAAN,2020,MARET,376656,2499423,544441,15949
SUMATERA UTARA,MAKANAN,PERDESAAN,2020,SEPTEMBER,378550,2499423,544441,15949
SUMATERA UTARA,MAKANAN,PERKOTAAN,2021,MARET,397996,2499423,630458,15486
SUMATERA UTARA,MAKANAN,PERKOTAAN,2021,SEPTEMBER,409313,2499423,630458,15486
SUMATERA UTARA,MAKANAN,PERKOTAAN,2022,MARET,431588,2522610,689463,15131
SUMATERA UTARA,MAKANAN,PERKOTAAN,2022,SEPTEMBER,458089,2522610,689463,15131
SUMATERA UTARA,MAKANAN,PERDESAAN,2021,MARET,391979,2499423,579669,15486
SUMATERA UTARA,MAKANAN,PERDESAAN,2021,SEPTEMBER,399971,2499423,579669,15486
SUMATERA UTARA,MAKANAN,PERDESAAN,2022,MARET,415301,2522610,631364,15131
SUMATERA UTARA,MAKANAN,PERDESAAN,2022,SEPTEMBER,438098,2522610,631364,15131
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2015,MARET,102643,1625000,453609,10618
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2015,SEPTEMBER,106627,1625000,453609,10618
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2016,MARET,108312,1811875,474404,11646
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2016,SEPTEMBER,111808,1811875,474404,11646
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2015,MARET,65752,1625000,269407,10618
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2015,SEPTEMBER,67987,1625000,269407,10618
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2016,MARET,72806,1811875,287255,11646
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2016,SEPTEMBER,75473,1811875,287255,11646
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2017,MARET,113696,1961354,491793,13396
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2017,SEPTEMBER,117206,1961354,491793,13396
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2018,MARET,120138,2132189,544628,13257
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2018,SEPTEMBER,120623,2132189,544628,13257
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2017,MARET,79842,1961354,278114,13396
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,84935,1961354,278114,13396
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2018,MARET,87743,2132189,337487,13257
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,93173,2132189,337487,13257
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2019,MARET,129321,2303403,587371,14061
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,139706,2303403,587371,14061
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2020,MARET,141299,2499423,639799,15949
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,141850,2499423,639799,15949
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2019,MARET,97785,2303403,369051,14061
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,103166,2303403,369051,14061
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2020,MARET,108061,2499423,390593,15949
SUMATERA UTARA,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,108091,2499423,390593,15949
SUMATERA UTARA,NONMAKANAN,PERKOTAAN,2021,MARET,145089,2499423,657135,15486
